ocr,category,time_ocr
B9596KDC,Keluar,2024-12-03 05:35:35
B9636KCA,Keluar,2024-12-03 05:45:56
B9457KCB,Keluar,2024-12-03 05:51:08
B695KCE,Keluar,2024-12-03 05:54:30
B9443KCA,Keluar,2024-12-03 06:07:27
B9053KCF,Keluar,2024-12-03 06:08:41
B9264KCF,Keluar,2024-12-03 06:09:44
B9264KCF,Keluar,2024-12-03 06:10:21
B139AG,Keluar,2024-12-03 06:13:46
B9017BRO,Keluar,2024-12-03 06:21:24
B912ONY,Keluar,2024-12-03 06:24:36
B9600KDC,Keluar,2024-12-03 06:25:47
B9600KDC,Keluar,2024-12-03 06:26:45
B3992KDC,Keluar,2024-12-03 06:32:26
B9054KCF,Keluar,2024-12-03 06:37:27
F9744FE,Keluar,2024-12-03 06:48:21
B265KCF,Keluar,2024-12-03 06:54:38
B9487KDC,Keluar,2024-12-03 06:58:14
B9232IW,Keluar,2024-12-03 07:09:23
B9635KCA,Keluar,2024-12-03 07:12:09
B9849FAP,Masuk,2024-12-03 07:29:30
FB648GO,Keluar,2024-12-03 07:37:53
B648GO,Keluar,2024-12-03 07:38:42
B9501KDC,Keluar,2024-12-03 07:56:00
B9434KCB,Keluar,2024-12-03 07:56:30
BB7IHI,Masuk,2024-12-03 07:57:32
B900KCA,Keluar,2024-12-03 08:03:19
B900KCA,Keluar,2024-12-03 08:04:26
B900KCA,Keluar,2024-12-03 08:06:11
B9338TAJ,Masuk,2024-12-03 08:12:28
B9300KBI,Keluar,2024-12-03 08:13:15
B697KCE,Keluar,2024-12-03 08:14:41
B993KDC,Keluar,2024-12-03 08:25:49
B9849FAP,Keluar,2024-12-03 08:36:17
B9338TAJ,Keluar,2024-12-03 08:43:09
B511BXR,Keluar,2024-12-03 09:01:56
B261UYT,Keluar,2024-12-03 09:05:32
B9985UZ,Masuk,2024-12-03 09:23:03
B9195JW,Masuk,2024-12-03 09:31:28
B311FZQ,Masuk,2024-12-03 09:32:26
B743FE,Masuk,2024-12-03 09:34:44
BE8178AUA,Keluar,2024-12-03 09:37:42
B25O,Masuk,2024-12-03 10:31:12
B9186KCB,Keluar,2024-12-03 10:32:34
B149OY,Keluar,2024-12-03 10:35:11
B264UY,Masuk,2024-12-03 10:37:59
B758YU,Keluar,2024-12-03 10:38:23
B713VX,Keluar,2024-12-03 10:46:06
F9374FG,Masuk,2024-12-03 10:51:45
B9344KCG,Keluar,2024-12-03 10:59:46
B9181LD,Keluar,2024-12-03 11:03:40
B646BEH,Keluar,2024-12-03 11:09:13
B9788CRU,Masuk,2024-12-03 11:21:36
BB5ODC,Masuk,2024-12-03 11:25:27
B1311FZQ,Keluar,2024-12-03 11:28:05
B9897CCD,Masuk,2024-12-03 11:44:50
BB642AUD,Masuk,2024-12-03 11:45:23
B9188OH,Masuk,2024-12-03 11:52:14
B65IJN,Masuk,2024-12-03 12:06:23
B9985UZ,Keluar,2024-12-03 12:15:29
S8065UN,Masuk,2024-12-03 12:26:15
B6977KCE,Masuk,2024-12-03 12:38:26
B6977KCE,Masuk,2024-12-03 12:39:40
B9457KCB,Masuk,2024-12-03 12:57:55
B9783CRU,Masuk,2024-12-03 13:07:17
B9443KCA,Masuk,2024-12-03 13:11:07
B145IW,Masuk,2024-12-03 13:15:24
B695KCE,Masuk,2024-12-03 13:17:03
B9897CCD,Keluar,2024-12-03 13:18:41
BB9600KDC,Masuk,2024-12-03 13:21:53
B9501KDC,Masuk,2024-12-03 13:26:58
B9635KCA,Masuk,2024-12-03 13:27:43
B9788CRU,Keluar,2024-12-03 13:35:35
B9403KCA,Masuk,2024-12-03 13:36:50
B934KCB,Masuk,2024-12-03 13:37:41
B419TA,Masuk,2024-12-03 13:48:31
B9344KCE,Masuk,2024-12-03 13:50:56
B992KDC,Masuk,2024-12-03 14:01:41
B1500KRE,Masuk,2024-12-03 14:03:52
B419TA,Keluar,2024-12-03 14:09:21
B9697YC,Keluar,2024-12-03 14:10:17
B12ONY,Masuk,2024-12-03 14:13:34
B9401CQA,Keluar,2024-12-03 14:18:18
B9081KYW,Masuk,2024-12-03 14:20:19
B112BYW,Masuk,2024-12-03 14:21:23
BB642AUD,Keluar,2024-12-03 14:22:42
BB5ODC,Keluar,2024-12-03 14:29:37
B9702KCE,Masuk,2024-12-03 14:39:45
D9267UYT,Masuk,2024-12-03 14:53:17
F9374EG,Keluar,2024-12-03 15:02:28
P1500KRF,Keluar,2024-12-03 15:17:41
B7433FE,Keluar,2024-12-03 16:14:40
B413FG,Masuk,2024-12-03 16:47:47
B511BXR,Masuk,2024-12-03 16:50:32
B9066BYW,Masuk,2024-12-03 16:51:46
B9487KDC,Masuk,2024-12-03 17:05:09
B265KCF,Masuk,2024-12-03 17:29:52
B9054KCF,Masuk,2024-12-03 17:33:52
B9264KCE,Masuk,2024-12-03 17:43:47
B9081KYW,Keluar,2024-12-03 17:48:52
B993KDC,Masuk,2024-12-03 17:50:09
B9400KTA,Masuk,2024-12-03 17:51:52
R9053KCF,Masuk,2024-12-03 17:57:14
BB695AR,Masuk,2024-12-03 18:08:17
